Production code,Title,Air date,IMDB rating
7F01,Two Cars in Every Garage and Three Eyes on Every Fish,1990-01-11,8.1
7F08,,1990-11-15,8.0
7F06,Bart the Daredevil,1990-06-12,
,Bart Gets Hit by a Car,1991-10-01,7.8
7F13,Homer vs. Lisa and the 8th Commandment,1991-07-02,8.0
7F16,"Oh Brother, Where Art Thou?",1991-02-21,8.2
7F17,Old Money,1991-03-28,7.6
7F19,Lisa's Substitute,1991-04-25,8.5
7F22,Blood Feud,1991-11-07,8.0
8F01,Mr. Lisa Goes to Washington,1991-09-26,7.7
8F03,Bart the Murderer,1991-10-10,8.7
8F05,"Like Father, Like Clown",1991-10-24,7.7
8F07,Saturdays of Thunder,1991-11-14,7.9
8F09,Burns Verkaufen der Kraftwerk,1991-05-12,8.2
8F11,,1992-09-01,
8F16,Bart the Lover,1992-02-13,8.3
8F15,Separate Vocations,1992-02-27,8.2
8F19,Colonel Homer,1992-03-26,7.9
8F22,Bart's Friend Falls in Love,1992-07-05,7.8
8F24,Kamp Krusty,1992-09-24,8.4
9F03,Itchy & Scratchy: The Movie,1992-03-11,8.2
9F08,Lisa's First Word,1992-03-12,8.5
9F11,Selma's Choice,1993-01-21,8.0
7G09,The Call of the Simpsons,1990-02-18,7.9
7F12,"One Fish, Two Fish, Blowfish, Blue Fish",1991-01-24,8.8
9F20,Marge in Chains,1993-06-05,7.7
9F21,Homer's Barbershop Quartet,1993-09-30,8.4
1F02,Homer Goes to College,1993-10-14,8.6
1F03,Marge on the Lam,1993-04-11,8.0
1F06,Boy-Scoutz 'n the Hood,1993-11-18,8.7
1F09,Homer the Vigilante,1994-06-01,8.2
1F11,Bart Gets Famous,1994-03-02,8.1
1F12,Lisa vs. Malibu Stacy,1994-02-17,8.2
1F15,Bart Gets an Elephant,1994-03-31,7.9
1F21,Lady Bouvier's Lover,1994-12-05,7.5
1F22,Bart of Darkness,1994-04-09,8.6
2F01,Itchy & Scratchy Land,1994-02-10,8.5
2F05,Lisa on Ice,1994-11-13,8.4
2F08,Fear of Flying,1994-12-18,7.8
2F10,And Maggie Makes Three,1995-01-22,8.5
2F12,Homie the Clown,1995-12-02,8.5
2F14,Homer vs. Patty and Selma,1995-02-26,7.9
2F18,,1995-09-04,8.1
2F32,'Round Springfield,1995-04-30,8.3
2F22,Lemon of Troy,1995-05-14,8.6
2F17,Radioactive Man,1995-09-24,8.3
3F02,Bart Sells His Soul,1995-08-10,8.7
3F04,Treehouse of Horror VI,1995-10-29,8.5
3F07,Marge Be Not Proud,1995-12-17,8.3
,Team Homer,1996-07-01,8.3
3F12,Bart the Fink,1996-11-02,7.7
9F06,,1992-12-11,8.2
3F18,22 Short Films About Springfield,1996-04-14,8.8
3F20,Much Apu About Nothing,1996-05-05,8.0
3F22,Summer of 4 Ft. 2,1996-05-19,8.3
4F05,"Burns, Baby Burns",1996-11-17,7.7
4F01,Lisa's Date with Density,1996-12-15,7.8
3G01,The Springfield Files,1997-12-01,9.0
4F08,The Twisted World of Marge Simpson,1997-01-19,7.8
4F12,The Itchy & Scratchy & Poochie Show,1997-09-02,7.9
4F11,Homer's Phobia,1997-02-16,8.9
4F15,Homer vs. the Eighteenth Amendment,1997-03-16,8.7
4F16,The Canine Mutiny,1997-04-13,7.7
4F18,In Marge We Trust,1997-04-27,8.0
4F21,The Secret War of Lisa Simpson,1997-05-18,7.8
4F23,The Principal and the Pauper,1997-09-28,7.4
5F03,Bart Star,1997-09-11,7.7
5F05,Lisa the Skeptic,1997-11-23,8.0
5F24,"All Singing, All Dancing",1998-04-01,5.1
5F23,The Joy of Sect,1998-08-02,8.2
5F13,This Little Wiggy,1998-03-22,7.8
5F14,The Trouble with Trillions,1998-05-04,7.9
5F09,Trash of the Titans,1998-04-26,8.5
5F18,Natural Born Kissers,1998-05-17,8.1
5F21,The Wizard of Evergreen Terrace,1998-09-20,8.2
AABF01,Treehouse of Horror IX,1998-10-25,8.0
AABF05,Mayored to the Mob,1998-12-20,8.2
AABF07,Wild Barts Can't Be Broken,1999-01-17,7.7
AABF12,Make Room for Lisa,1999-02-28,7.5
AABF15,Mom and Pop Art,1999-11-04,7.6
AABF17,Monty Can't Buy Me Love,1999-02-05,7.2
AABF20,Thirty Minutes over Tokyo,1999-05-16,7.9
,Guess Who's Coming to Criticize Dinner?,1999-10-24,7.5
AABF19,E-I-E-I-(Annoyed Grunt),1999-07-11,7.6
BABF03,Eight Misbehavin',1999-11-21,7.1
BABF08,The Mansion Family,2000-01-23,7.3
BABF11,"Alone Again, Natura-diddily",2000-02-13,7.9
BABF12,Pygmoelian,2000-02-27,7.3
BABF16,Kill the Alligator and Run,2000-04-30,6.6
BABF18,"It's a Mad, Mad, Mad, Mad Marge",2000-05-14,7.3
BABF21,,2000-01-11,7.6
